ElectionDate,BookClosing,JurisNum,JurisType,CountyName,Republican,Democrat,AmericasParty,ConstitutionParty,EcologyParty,GreenParty,IndependenceParty,IndependentParty,LibertarianParty,PartyforSocialismiberation,ReformPartyofFlorida,NoPartyAffiliation,total,Precincts
11/8/16,10/18/16,1,USR,Escambia,94167,72636,18,40,3,126,491,4135,594,2,20,37804,210036,79
11/8/16,10/18/16,1,USR,Holmes,3772,2598,0,0,0,1,5,65,7,0,0,678,7126,6
11/8/16,10/18/16,1,USR,Okaloosa,78517,26347,17,22,2,53,181,2004,525,4,22,27946,135640,52
11/8/16,10/18/16,1,USR,Santa Rosa,76263,26414,11,31,2,52,378,3258,496,3,26,23894,130828,41
11/8/16,10/18/16,1,USR,Walton,27443,9794,3,7,1,14,118,616,125,0,6,8518,46645,21
11/8/16,10/18/16,2,USR,Bay,60997,31698,9,14,3,100,287,1706,479,4,16,22701,118014,44
11/8/16,10/18/16,2,USR,Calhoun,2245,5433,0,3,0,3,12,58,13,0,1,828,8596,15
11/8/16,10/18/16,2,USR,Columbia,15065,11350,1,8,0,18,72,632,93,0,5,5166,32410,20
11/8/16,10/18/16,2,USR,Dixie,3630,4745,1,0,0,2,30,182,14,0,1,1310,9915,10
11/8/16,10/18/16,2,USR,Franklin,2221,4105,0,0,0,3,32,93,11,0,1,763,7229,8
11/8/16,10/18/16,2,USR,Gilchrist,6117,3559,0,5,0,6,90,179,27,0,4,1433,11420,10
11/8/16,10/18/16,2,USR,Gulf,4611,4369,0,1,0,2,36,121,18,0,0,1052,10210,9
11/8/16,10/18/16,2,USR,Holmes,2180,1447,0,0,0,0,7,25,2,0,0,443,4104,3
11/8/16,10/18/16,2,USR,Jackson,10041,15830,2,3,0,9,37,257,29,0,2,2742,28952,14
11/8/16,10/18/16,2,USR,Jefferson,279,456,0,0,0,0,1,20,1,0,0,94,851,3
11/8/16,10/18/16,2,USR,Lafayette,1503,2652,0,0,0,2,9,40,7,0,0,251,4464,5
11/8/16,10/18/16,2,USR,Leon,35420,41346,2,10,3,58,310,1620,296,6,24,15603,94698,77
11/8/16,10/18/16,2,USR,Levy,12241,9457,0,4,0,6,222,670,385,0,3,3839,26827,13
11/8/16,10/18/16,2,USR,Liberty,733,3398,2,1,0,1,6,12,1,0,1,342,4497,8
11/8/16,10/18/16,2,USR,Marion,16226,10944,8,7,0,10,250,1279,77,1,5,6231,35038,21
11/8/16,10/18/16,2,USR,Suwannee,11352,10941,6,15,0,11,184,759,57,1,2,3092,26420,16
11/8/16,10/18/16,2,USR,Taylor,4198,6952,0,12,0,5,32,174,19,1,2,908,12303,14
11/8/16,10/18/16,2,USR,Wakulla,7827,8835,3,5,0,5,113,405,44,0,2,2806,20045,12
11/8/16,10/18/16,2,USR,Washington,7554,5617,3,1,1,1,37,149,34,1,4,1770,15172,16
11/8/16,10/18/16,3,USR,Alachua,50096,85143,8,20,1,216,428,2715,725,7,23,38564,177946,63
11/8/16,10/18/16,3,USR,Bradford,7259,6461,1,1,1,4,55,150,43,0,3,2064,16042,14
11/8/16,10/18/16,3,USR,Clay,80030,32069,16,19,5,55,483,2912,400,4,16,30622,146631,47
11/8/16,10/18/16,3,USR,Marion,39778,30968,22,19,6,55,411,1931,234,3,9,15267,88703,51
11/8/16,10/18/16,3,USR,Putnam,17890,20413,2,4,0,13,145,720,88,0,3,8143,47421,35
11/8/16,10/18/16,3,USR,Union,3002,3508,0,0,0,3,22,90,15,0,0,616,7256,13
11/8/16,10/18/16,4,USR,Duval,160632,98011,20,17,10,196,1244,8635,1306,8,42,67164,337285,122
11/8/16,10/18/16,4,USR,Nassau,35172,13903,3,12,2,22,254,1463,210,0,7,10244,61292,15
11/8/16,10/18/16,4,USR,St. Johns,79646,33974,9,15,2,93,426,3332,531,1,16,30389,148434,42
11/8/16,10/18/16,5,USR,Baker,7639,5921,0,3,0,3,14,136,25,1,1,1402,15145,9
11/8/16,10/18/16,5,USR,Columbia,1246,3080,1,2,0,1,9,64,9,0,1,562,4975,8
11/8/16,10/18/16,5,USR,Duval,60100,142233,57,26,8,123,662,4271,556,3,30,42682,250751,102
11/8/16,10/18/16,5,USR,Gadsden,4477,22468,0,2,0,8,33,236,24,0,2,2334,29584,25
11/8/16,10/18/16,5,USR,Hamilton,2287,4789,1,1,0,0,38,113,11,0,2,844,8086,8
11/8/16,10/18/16,5,USR,Jefferson,2450,5302,0,0,0,2,32,104,14,0,0,751,8655,16
11/8/16,10/18/16,5,USR,Leon,21723,68160,5,13,3,79,339,1537,289,6,26,19457,111637,87
11/8/16,10/18/16,5,USR,Madison,3201,7163,0,2,0,1,23,165,16,0,0,996,11567,11
11/8/16,10/18/16,6,USR,Flagler,31454,25274,5,8,2,46,278,1338,183,1,14,20676,79279,23
11/8/16,10/18/16,6,USR,Lake,25777,16375,0,5,0,32,272,1558,130,0,9,10830,54988,30
11/8/16,10/18/16,6,USR,St. Johns,12064,6904,3,5,1,16,110,601,70,0,3,4992,24769,10
11/8/16,10/18/16,6,USR,Volusia,127831,128835,16,32,8,211,1494,9233,879,4,45,94830,363418,125
11/8/16,10/18/16,7,USR,Orange,58511,75923,5,8,3,184,563,3103,656,4,10,52997,191967,63
11/8/16,10/18/16,7,USR,Seminole,111772,98107,6,25,4,178,814,5394,947,2,41,74660,291950,80
11/8/16,10/18/16,8,USR,Brevard,173318,131224,63,83,19,294,1319,11724,1145,17,50,92773,412029,159
11/8/16,10/18/16,8,USR,Indian River,49714,29171,4,6,1,56,487,2584,203,0,17,24398,106641,37
11/8/16,10/18/16,8,USR,Orange,3867,3109,0,0,0,4,41,242,31,0,1,2898,10193,6
11/8/16,10/18/16,9,USR,Orange,32464,47983,4,11,1,47,434,1948,236,1,4,38638,121771,35
11/8/16,10/18/16,9,USR,Osceola,47090,85839,6,23,8,61,431,3119,301,2,17,59428,196325,81
11/8/16,10/18/16,9,USR,Polk,63957,71998,22,25,5,70,652,3823,359,4,17,47725,188657,77
11/8/16,10/18/16,10,USR,Orange,118242,203850,8,26,2,229,1269,6922,1012,7,34,120901,452502,144
11/8/16,10/18/16,11,USR,Citrus,48894,30417,8,13,4,44,364,2804,242,2,12,22868,105672,31
11/8/16,10/18/16,11,USR,Hernando,53149,43098,13,16,3,75,672,3680,296,4,25,29608,130639,37
11/8/16,10/18/16,11,USR,Lake,47245,31614,1,16,6,40,542,3035,178,1,13,20410,103101,57
11/8/16,10/18/16,11,USR,Marion,45815,36551,24,21,4,38,748,3248,247,4,15,20383,107098,53
11/8/16,10/18/16,11,USR,Sumter,48901,23527,0,7,0,21,417,2449,117,2,12,16700,92153,30
11/8/16,10/18/16,12,USR,Hillsborough,4523,2412,0,0,0,2,31,238,25,0,0,2255,9486,6
11/8/16,10/18/16,12,USR,Pasco,130781,107515,20,38,2,176,2664,11380,841,5,69,82546,336037,112
11/8/16,10/18/16,12,USR,Pinellas,68622,49828,9,12,2,119,629,5204,495,4,27,41938,166889,60
11/8/16,10/18/16,13,USR,Pinellas,162479,182772,32,67,15,440,1790,13341,1544,15,88,119298,481881,239
11/8/16,10/18/16,14,USR,Hillsborough,135699,204095,31,36,18,329,1250,8725,1205,11,56,125302,476757,194
11/8/16,10/18/16,15,USR,Hillsborough,81355,88835,23,38,12,147,799,5328,579,5,43,61669,238833,104
11/8/16,10/18/16,15,USR,Lake,24429,21752,0,2,0,21,190,1364,142,0,11,16431,64342,20
11/8/16,10/18/16,15,USR,Polk,63619,60069,21,36,7,88,713,4256,399,2,19,41238,170467,65
11/8/16,10/18/16,16,USR,Hillsborough,46232,40529,10,11,7,46,659,3699,313,7,17,33108,124638,43
11/8/16,10/18/16,16,USR,Manatee,100465,71427,5,15,4,104,1087,3868,487,6,26,53562,231056,70
11/8/16,10/18/16,16,USR,Sarasota,70129,55721,5,11,2,164,612,3916,473,11,25,35252,166321,50
11/8/16,10/18/16,17,USR,Charlotte,56469,36160,11,10,6,59,741,4305,219,2,9,30341,128332,67
11/8/16,10/18/16,17,USR,DeSoto,5072,7492,0,6,0,4,26,196,5,0,1,3082,15884,15
11/8/16,10/18/16,17,USR,Glades,2349,3109,0,1,0,2,60,101,2,0,0,984,6608,13
11/8/16,10/18/16,17,USR,Hardee,5010,4707,0,1,0,0,98,116,16,0,1,1770,11719,12
11/8/16,10/18/16,17,USR,Highlands,27977,20179,5,5,1,12,329,1303,71,0,11,11710,61603,25
11/8/16,10/18/16,17,USR,Lee,21699,14710,1,4,0,19,291,984,95,0,7,12681,50491,17
11/8/16,10/18/16,17,USR,Okeechobee,8408,7674,0,5,0,8,30,548,23,0,5,3302,20003,11
11/8/16,10/18/16,17,USR,Polk,18798,17678,2,4,0,14,179,983,104,2,7,10752,48523,25
11/8/16,10/18/16,17,USR,Sarasota,59399,36932,4,10,4,68,327,3559,242,3,9,35047,135604,51
11/8/16,10/18/16,18,USR,Martin,55496,27955,3,6,2,51,522,4473,193,2,16,22214,110933,30
11/8/16,10/18/16,18,USR,Palm Beach,75677,69630,12,14,3,86,1311,7329,382,2,27,51164,205637,208
11/8/16,10/18/16,18,USR,St. Lucie,62548,78611,6,11,3,57,672,5459,281,2,12,46706,194368,64
11/8/16,10/18/16,19,USR,Collier,58533,22507,4,12,4,28,133,2128,220,2,16,23070,106657,36
11/8/16,10/18/16,19,USR,Lee,164038,102026,11,19,4,154,1521,6923,623,5,40,98082,373446,113
11/8/16,10/18/16,20,USR,Broward,32773,196377,8,21,5,65,535,2302,205,2,19,65553,297865,149
11/8/16,10/18/16,20,USR,Palm Beach,21356,73166,12,11,5,50,387,2144,144,3,10,29472,126760,134
11/8/16,10/18/16,21,USR,Palm Beach,125722,209517,18,24,6,226,1898,13205,739,5,50,125015,476425,384
11/8/16,10/18/16,22,USR,Broward,109057,172707,14,31,6,175,1339,5648,600,10,39,108297,397923,213
11/8/16,10/18/16,22,USR,Palm Beach,32159,31824,1,7,1,44,397,2442,175,4,5,25748,92807,60
11/8/16,10/18/16,23,USR,Broward,106785,199157,15,30,11,168,1167,5033,502,6,31,120019,432924,209
11/8/16,10/18/16,23,USR,Miami-Dade,9407,15228,0,1,1,12,139,652,43,0,7,13396,38886,22
11/8/16,10/18/16,24,USR,Broward,7945,29141,2,2,1,24,120,465,45,1,3,12615,50364,33
11/8/16,10/18/16,24,USR,Miami-Dade,35273,224465,12,23,9,129,575,2586,242,3,22,76469,339808,211
11/8/16,10/18/16,25,USR,Collier,43754,25007,10,14,9,36,114,1695,175,1,11,23224,94050,31
11/8/16,10/18/16,25,USR,Hendry,6113,8214,2,1,2,0,120,151,19,0,2,2851,17475,10
11/8/16,10/18/16,25,USR,Miami-Dade,89802,72920,11,10,7,79,564,2838,269,0,27,80716,247243,128
11/8/16,10/18/16,26,USR,Miami-Dade,106724,130408,16,25,15,111,616,3755,341,1,42,111542,353596,194
11/8/16,10/18/16,26,USR,Monroe,20966,17923,0,2,2,49,117,1139,169,0,4,14378,54749,33
11/8/16,10/18/16,27,USR,Miami-Dade,131195,142777,13,14,14,230,975,4965,555,8,30,118903,399679,234
